ENSPMEG00000011791,ENSPMEG00000011791.1,ENSPMET00000000100,ENSPMET00000000100.1
ENSPMEG00000011698,ENSPMEG00000011698.1,ENSPMET00000000163,ENSPMET00000000163.1
ENSPMEG00000011720,ENSPMEG00000011720.1,ENSPMET00000000143,ENSPMET00000000143.1
ENSPMEG00000011708,ENSPMEG00000011708.1,ENSPMET00000000131,ENSPMET00000000131.1
ENSPMEG00000012088,ENSPMEG00000012088.1,ENSPMET00000000150,ENSPMET00000000150.1
ENSPMEG00000011693,ENSPMEG00000011693.1,ENSPMET00000000155,ENSPMET00000000155.1
ENSPMEG00000011703,ENSPMEG00000011703.1,ENSPMET00000000138,ENSPMET00000000138.1
ENSPMEG00000011707,ENSPMEG00000011707.1,ENSPMET00000000134,ENSPMET00000000134.1
ENSPMEG00000011722,ENSPMEG00000011722.1,ENSPMET00000000118,ENSPMET00000000118.1
ENSPMEG00000011690,ENSPMEG00000011690.1,ENSPMET00000000162,ENSPMET00000000162.1
ENSPMEG00000011712,ENSPMEG00000011712.1,ENSPMET00000000129,ENSPMET00000000129.1
ENSPMEG00000011758,ENSPMEG00000011758.1,ENSPMET00000000102,ENSPMET00000000102.1
ENSPMEG00000011694,ENSPMEG00000011694.1,ENSPMET00000000153,ENSPMET00000000153.1
ENSPMEG00000011652,ENSPMEG00000011652.1,ENSPMET00000000215,ENSPMET00000000215.1
ENSPMEG00000000229,ENSPMEG00000000229.1,ENSPMET00000000267,ENSPMET00000000267.1
ENSPMEG00000011666,ENSPMEG00000011666.1,ENSPMET00000000201,ENSPMET00000000201.1
ENSPMEG00000011661,ENSPMEG00000011661.1,ENSPMET00000000247,ENSPMET00000000247.1
ENSPMEG00000011662,ENSPMEG00000011662.1,ENSPMET00000000246,ENSPMET00000000246.1
ENSPMEG00000011879,ENSPMEG00000011879.1,ENSPMET00000000254,ENSPMET00000000254.1
ENSPMEG00000011610,ENSPMEG00000011610.1,ENSPMET00000000294,ENSPMET00000000294.1
ENSPMEG00000011621,ENSPMEG00000011621.1,ENSPMET00000000298,ENSPMET00000000298.1
ENSPMEG00000011624,ENSPMEG00000011624.1,ENSPMET00000000272,ENSPMET00000000272.1
ENSPMEG00000000233,ENSPMEG00000000233.1,ENSPMET00000000188,ENSPMET00000000188.1
ENSPMEG00000011677,ENSPMEG00000011677.1,ENSPMET00000000184,ENSPMET00000000184.1
ENSPMEG00000011642,ENSPMEG00000011642.1,ENSPMET00000000233,ENSPMET00000000233.1
ENSPMEG00000011622,ENSPMEG00000011622.1,ENSPMET00000000283,ENSPMET00000000283.1
ENSPMEG00000011661,ENSPMEG00000011661.1,ENSPMET00000000257,ENSPMET00000000257.1
ENSPMEG00000011796,ENSPMEG00000011796.1,ENSPMET00000000256,ENSPMET00000000256.1
ENSPMEG00000000883,ENSPMEG00000000883.1,ENSPMET00000000268,ENSPMET00000000268.1
ENSPMEG00000000230,ENSPMEG00000000230.1,ENSPMET00000000248,ENSPMET00000000248.1
ENSPMEG00000012088,ENSPMEG00000012088.1,ENSPMET00000000223,ENSPMET00000000223.1
ENSPMEG00000012088,ENSPMEG00000012088.1,ENSPMET00000000186,ENSPMET00000000186.1
ENSPMEG00000011611,ENSPMEG00000011611.1,ENSPMET00000000296,ENSPMET00000000296.1
ENSPMEG00000011626,ENSPMEG00000011626.1,ENSPMET00000000270,ENSPMET00000000270.1
ENSPMEG00000011676,ENSPMEG00000011676.1,ENSPMET00000000187,ENSPMET00000000187.1
ENSPMEG00000011658,ENSPMEG00000011658.1,ENSPMET00000000218,ENSPMET00000000218.1
ENSPMEG00000011792,ENSPMEG00000011792.1,ENSPMET00000000214,ENSPMET00000000214.1
ENSPMEG00000011641,ENSPMEG00000011641.1,ENSPMET00000000262,ENSPMET00000000262.1
ENSPMEG00000011654,ENSPMEG00000011654.1,ENSPMET00000000281,ENSPMET00000000281.1
ENSPMEG00000011682,ENSPMEG00000011682.1,ENSPMET00000000180,ENSPMET00000000180.1
ENSPMEG00000011612,ENSPMEG00000011612.1,ENSPMET00000000290,ENSPMET00000000290.1
ENSPMEG00000000578,ENSPMEG00000000578.1,ENSPMET00000000185,ENSPMET00000000185.1
ENSPMEG00000012088,ENSPMEG00000012088.1,ENSPMET00000000216,ENSPMET00000000216.1
ENSPMEG00000011646,ENSPMEG00000011646.1,ENSPMET00000000240,ENSPMET00000000240.1
ENSPMEG00000011792,ENSPMEG00000011792.1,ENSPMET00000000217,ENSPMET00000000217.1
ENSPMEG00000011631,ENSPMEG00000011631.1,ENSPMET00000000260,ENSPMET00000000260.1
ENSPMEG00000011879,ENSPMEG00000011879.1,ENSPMET00000000219,ENSPMET00000000219.1
ENSPMEG00000011659,ENSPMEG00000011659.1,ENSPMET00000000231,ENSPMET00000000231.1
ENSPMEG00000011622,ENSPMEG00000011622.1,ENSPMET00000000274,ENSPMET00000000274.1
ENSPMEG00000000229,ENSPMEG00000000229.1,ENSPMET00000000278,ENSPMET00000000278.1
ENSPMEG00000000234,ENSPMEG00000000234.1,ENSPMET00000000182,ENSPMET00000000182.1
ENSPMEG00000011623,ENSPMEG00000011623.1,ENSPMET00000000308,ENSPMET00000000308.1
ENSPMEG00000011674,ENSPMEG00000011674.1,ENSPMET00000000230,ENSPMET00000000230.1
ENSPMEG00000011792,ENSPMEG00000011792.1,ENSPMET00000000209,ENSPMET00000000209.1
ENSPMEG00000000778,ENSPMEG00000000778.1,ENSPMET00000000207,ENSPMET00000000207.1
ENSPMEG00000011640,ENSPMEG00000011640.1,ENSPMET00000000241,ENSPMET00000000241.1
ENSPMEG00000011619,ENSPMEG00000011619.1,ENSPMET00000000282,ENSPMET00000000282.1
ENSPMEG00000011657,ENSPMEG00000011657.1,ENSPMET00000000213,ENSPMET00000000213.1
ENSPMEG00000011660,ENSPMEG00000011660.1,ENSPMET00000000206,ENSPMET00000000206.1
ENSPMEG00000011605,ENSPMEG00000011605.1,ENSPMET00000000306,ENSPMET00000000306.1
ENSPMEG00000011683,ENSPMEG00000011683.1,ENSPMET00000000179,ENSPMET00000000179.1
ENSPMEG00000011620,ENSPMEG00000011620.1,ENSPMET00000000291,ENSPMET00000000291.1
ENSPMEG00000011680,ENSPMEG00000011680.1,ENSPMET00000000225,ENSPMET00000000225.1
ENSPMEG00000011611,ENSPMEG00000011611.1,ENSPMET00000000307,ENSPMET00000000307.1
